Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
iu.bl,Indiana University Bloomington Libraries (iu.bl),0.09,0.21,0.04,0.04,0.09
sml.icrisat,International Crops Research Institute for the Semi-Arid Tropics (sml.icrisat),0.13,0.15,0.06,0.00,0.09
gesis.ub-pad,Paderborn University Library (Digitale Sammlungen) (gesis.ub-pad),0.05,0.13,0.11,0.10,0.09
gesis.share,SHARE - ERIC (gesis.share),0.07,0.19,0.11,0.00,0.09
snd.su,Stockholm University  Figshare Repository (snd.su),0.12,0.22,0.02,0.00,0.09
bl.ads,Archaeology Data Service (bl.ads),0.23,0.07,0.08,0.00,0.09
gesis.db-bank,Deutsche Bundesbank Research Data and Service Centre (RDSC) (gesis.db-bank),0.11,0.30,0.03,0.00,0.09
ohsu.ohsu,OHSU Digital Commons (ohsu.ohsu),0.20,0.13,0.07,0.00,0.09
uwa.lib,University of Washington Libraries (uwa.lib),0.11,0.14,0.06,0.06,0.09
tib.ubt,EPub Bayreuth (tib.ubt),0.07,0.13,0.16,0.10,0.09
iris.iris,NSF Seismological Facility for the Advancement of Geoscience (SAGE) (iris.iris),0.15,0.22,0.01,0.37,0.09
figshare.cput,Cape Peninsula University of Technology (figshare.cput),0.11,0.18,0.04,0.00,0.09
dipf.rdcedu,Research Data Centre for Education at the DIPF (dipf.rdcedu),0.20,0.16,0.08,0.00,0.09
pangaea.repository,PANGAEA (pangaea.repository),0.15,0.19,0.02,0.02,0.09
ugraz.unipub,unipub (ugraz.unipub),0.11,0.12,0.07,0.10,0.09
tib.dwd,Deutscher Wetterdienst - Klimaüberwachung (tib.dwd),0.10,0.32,0.11,0.05,0.09
vjhc.dataverseno,DataverseNO (vjhc.dataverseno),0.12,0.19,0.17,0.02,0.09
doe.pnnl,DOE Pacific Northwest National Laboratory (PNNL) Repository (doe.pnnl),0.13,0.24,0.06,0.00,0.09
globus.services,Globus Services (globus.services),0.16,0.04,0.13,0.00,0.09
snd.snd,Swedish National Data Service (snd.snd),0.06,0.21,0.06,0.00,0.09
ykdk.kihfhm,Swissubase FORS (ykdk.kihfhm),0.26,0.20,0.06,0.00,0.09
gdcc.ntu,Nanyang Technological University Research Data Repository (gdcc.ntu),0.11,0.16,0.04,0.01,0.09
gesis.bstift,Bertelsmann Stiftung (gesis.bstift),0.10,0.33,0.02,0.01,0.09
bibsys.npolar,Norsk Polarinstitutt (bibsys.npolar),0.07,0.06,0.13,0.10,0.09
figshare.mcri,Murdoch Childrens Research Institute (MCRI) (figshare.mcri),0.09,0.22,0.01,0.00,0.09
vzek.zis,Open Access Repository for Measurement Instruments (ZIS) (vzek.zis),0.07,0.23,0.06,0.10,0.09
figshare.uu,Utrecht University (figshare.uu),0.08,0.18,0.03,0.00,0.09
tib.fuub,Universitätsbibliothek der FU Berlin (tib.fuub),0.09,0.18,0.08,0.02,0.08
bl.stfc,Science and Technology Facilities Council (bl.stfc),0.19,0.09,0.05,0.04,0.08
jwln.bkrkhv,A+BE (jwln.bkrkhv),0.09,0.20,0.08,0.08,0.08
bl.york,York (bl.york),0.17,0.14,0.15,0.21,0.08
crui.unimi,Università degli Studi di Milano (crui.unimi),0.05,0.08,0.20,0.08,0.08
unimelb.repo1,University of Melbourne data repository (unimelb.repo1),0.10,0.19,0.02,0.00,0.08
ardcx.vu,Victoria University (ardcx.vu),0.03,0.14,0.06,0.10,0.08
concor.kcydcu,Spectrum Research Repository (concor.kcydcu),0.20,0.13,0.06,0.10,0.08
