Repository Name,Repository_ID
Social Science Data Archives at UL-FDV (ADP),gesis.adp
German Institute for International and Security Affairs,gesis.swp
Research Data Centre for Education at the DIPF,dipf.rdcedu
Institute for Employment Research (IAB),gesis.iab
'Health Monitoring' Research Data Centre at the Robert Koch Institute,gesis.rki
Federal Centre for Health Education,gesis.bzga
Social Data Network,gesis.sodanet
German Institute of Development and Sustainability (IDOS),gesis.die-gdi
RWI – Leibniz-Institut für Wirtschaftsforschung e.V.,zbw.rwi
LIfBi Leibniz Institute for Educational Trajectories,gesis.neps
Open Access Repository for Measurement Instruments (ZIS),vzek.zis
Research Data Centre of the German Federal Employment Agency at the Institute for Employment Research,iabg.rdciab
Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),zbw.ios
UBMA,gesis.ubma
Research Data Centre of the Federal Institute for Vocational Education and Training (BIBB-FDZ),gesis.bibb-fdz
Africa Health Research Institute,gesis.ahri
Kraftfahrt-Bundesamt,gesis.kba
Deutsche Bundesbank Research Data and Service Centre (RDSC),gesis.db-bank
LMU-ifo Economics & Business Data Center,zbw.ifo
"methods, data, analyses (mda) - GESIS",vzek.mda
easy social sciences,vzek.easy
Croatian Social Science Data Archive (CROSSDA),gesis.ffzg
National Center of Social Research,gesis.ekke
GESIS Tombstone Pages,vzek.tomb
Forschungsdatenzentrum am IQB,gesis.iqb
"Federal Institute for Education Research, Austria",qefw.iqs
INDEPTH Network,gesis.indepth
Research Data Center for Higher Education Research and Science Studies (FDZ-DZHW),dzhw.fdz-dzhw
SHARE - ERIC,gesis.share
Research Data Center of the Socio-Economic Panel Study at DIW Berlin (FDZ SOEP),gesis.soep
DGAP - Deutsche Gesellschaft für Auswärtige Politik,dgap.oqjxml
The Research Data Centre of the German Pension Insurance (FDZ-RV),fdzrv.fdzrv
Hochschule für Wirtschaft und Recht Berlin,zbw.hwr
GESIS Pretest Database,vzek.pretest
GESIS Blog,vzek.gesisblog
Center for Economic Education in Siegen,zbw.zoebis
Forschungsdatenzentrum Deutsches Zentrum für Altersfragen (FDZ-DZA),gesis.deas
Rat für Sozial- und WirtschaftsDaten,wzbde.ratswd
Research Centre of the Federal Office for Migration and Refugees,bamf.bamf
Center for Development Evaluation and Social Science Research (CREDI),credi.credi
GESIS- Survey Guidelines,vzek.sdm
GESIS.ZPID,gesis.zpid
GESIS Methods Hub,vzek.mhub
Institut für Bildungsmonitoring und Qualitätsentwicklung,zbw.ifbq
Leibniz-Institut für Wirtschaftsforschung Halle (IWH),zbw.iwh
GESIS Data Archive,vzek.archive
The Banco de España data Laboratory (BELab),belab.belab
The German Youth Institute,gesis.dji
Slovak Archive for Social Data,vzek.sasd
Research Data Centre of the German Centre for Integration and Migration Research (DeZIM),gesis.dezim
Journal of Comments and Replications in Economics (JCRE),zbw.iree
International Association for the Evaluation of Educational Achievement,qtiv.iea
German Centre for Higher Education Research and Science Studies,gesis.dzhw
DATICE,gesis.ssri
South African Medical Research Council,gesis.samrc
Research Data Center for Business and Organizational Data (RDC-BO),dxwl.rdiw
Wissenschaftszentrum Berlin für Sozialforschung,gesis.wzb
BANCO DE PORTUGAL,gesis.banco-pt
WVSA - World Values Survey Association,gesis.wvsa
GESIS Guides to Digital Behavioral Data,vzek.dbd
Research Data Centre for Education,gesis.dipf
Research Data Centre of the Federal Office for Migration and Refugees,bamf.rdcbamf
Centre for Cancer Registry Data (ZfKD) at the Robert Koch Institute,epua.zfkd
Forschungsdatenzentrum  am Robert Koch Institut,epua.rdcrki
FDZ eLabour,zyhg.elabour
ZEW - Leibniz Zentrum für Europäische Wirtschaftsforschung,zbw.zew
GESIS Online,vzek.gesisonline
Office of the Commission for Research Information in Germany (KFiD),dzhw.kfid
BERD@NFDI Data Portal,zbwg.berd
FDZ Wissenschaftsstatistik,rdcwst.fdzwisst
Forschungsnetzwerk Alterssicherung (FNA),fdzrv.fna
Dezernat Reha-Wissenschaften,fdzrv.reha
Research Data Centre of the Research Institute Social Cohesion (RDC-RISC),xueu.manypc
Deutsche Bundesbank – Research Centre,buba.dbrc
University of Victoria Repository,wdlj.stzxmx
Borealis,ocul.spdv
University of Calgary,ucalg.library
University of Ottawa - Library,uott.library
VIUspace,viu.bayqne
Université de Montréal - Papyrus,umon.tbxpus
Barcode of Life Data Systems,cbg.datasets
University of Alberta Library,ualberta.library
Open Collections,ubc.oc
Statistics Canada Dissemination,statscan.diss
NRC Digital Repository,nrc.ir
Ocean Networks Canada Society,oncs.onc
Natual Products Magnetic Resonance Database,tmic.np-mrd
AcadiaU-DEV,krep.szjagu
Memorial University Research Repository,mun.research
Bank of Canada Research,bankcan.uefzhe
Canada Human-Computer Communications Society,chccs.repository
UNB Dataverse,unewb.bchavb
Federated Research Data Repository,carl.frdr
ETS-CSME2025,omwu.fzsmmk
UMANOJS,uman.ojs
Electronic Textual Cultures Lab,etcl.uvic
DataStream,wdgcf.datastream
Columbia Basin Water Hub,llc.cbwaterhub
Strait of Georgia Data Centre,psf.sgdc
Emily Carr University of Art and Design Repository,carr.carr
UMANCEOS,uman.ceos
USherbrooke-PROD,scci.llymnz
"Computational Geometry Lab, Carleton University",cgl.cglab
BirdsCanada_Repo,eapc.mmltem
Canadian Polar Data Network,pdc.cpdn
Hakai Institute,hakai.dfukgl
UNB Conferences,unewb.tpawzr
Canadian Journal of Career Development,mun.canjourcardev
ECCC Data Catalogue,eccc.datacat
ILDS-DEV,ezwg.kjqcfa
Nordicana D,cen.nordicana
MRU-Repo,xtwa.jwkmtx
ICSOBA,bfjv.ukjyzf
CCA_Repo,howi.nqzben
OGSL repository,ogsl.gsbam
Canadensys,umbc.canadensys
Fisheries and Oceans Canada - Publications / Pêches et Océans Canada - Publications,cipw.jxmxzd
Canadian Astronomy Data Centre,nrc.cadc
Canadian Cryospheric Information Network,pdc.ccin
Collection numérique (UQTR),uqtr.mesxqq
IRis,mujf.ulrdkf
CorpusUL,ulaval.corpus
Ocean Tracking Network,otn.otndc
ArcticNet,pdc.arcnet
The Calgary Guide to Understanding Disease,ucalg.tcg
Canadian Energy Regulator,cer.rep1
BrainsCAN Repository,jtsm.saviol
GEOSCAN,natcan.geoscan
Spectrum Research Repository,concor.kcydcu
Conestoga College Repository,wbhe.chdahh
IRPP,irpp.pwyjan
"Summit, the SFU Research Repository",sfu.summit
Cybelepress,cybele.scmzov
Capilano University's Collections,capil.xguhil
Revue TUC,revtuc.revuetuc
Matrix-Repo,sbpc.vgjmvn
UMANMANIFOLD,uman.manifold
T-CAIREM Health Data,tcairem.healthdata
UMANMSPACE,uman.mspace
UPEI Data Repository,upei.data
MacSphere,mcmaster.ir
Brain-CODE,bmbf.hirzqt
WOUDC,woudc.0000
POP! Public. Open. Participatory.,sfu.pop
MRNF-DEV,xduf.kpprwo
BC Campus Pressbooks,sfu.bccampus
Salmon Watershed Program,psf.swp
Peter Humphries,icahris.icahris
Library,usask.library
University of Alberta Museums,uam.macs
CRKN-DEV,gyxb.cpdymx
ETS-Pressbooks,omwu.wmqkrz
"Montreal Neurological Institute, McGill University",mcbic.neuro
Agriculture and Agri-Food Canada,aafc.repository
Amundsen Science repository,ogsl.johmwl
Arctic Research Foundation Data Catalogue,arf.data
ENAP_Repository,bypm.gvcwjp
Miscellaneous,sfu.misc
Ocean Wise Research Institute Technical Report Series,owri.reports
WinnSpace,uwinn.ir
Carleton University Library,carle.culib
Research Computing,wdlj.hvsuye
IRBU,brand.irbu
Données et informations ouvertes de l'ASC | CSA open data and information,asccsa.data
Dalhousie University Local Dataverse,dalu.dalloc
PSC-DEV,zcut.ceatnc
Geological Survey of Denmark and Greenland (GEUS),dk.geus
International Council for the Exploration of the Sea (ICES),dk.ices
LOAR,dk.sb
The Danish National Archives,dk.sa
DTIC Datacenter,dk.dtic
Aalborg University Library,dk.aau
University Library of Southern Denmark,dk.sdub
University of Copenhagen,dk.ku
Greenland Ecosystem Monitoring  (GEM),dk.gem
UCN OJS,dk.ucn
Forskerzonen / Videnskab.dk,vpls.wzharr
DeiC Dataverse,vznx.mjhyql
Teknisk Kulturarv,todn.nukxvl
Københavns Stadsarkiv,doip.ksa
DTU EIS,todn.hcsvci
CURIS,xizz.curis
Data Deposit at Aalborg University,ejij.datadeposit
